line_id,name
r12759113,Perumalppadi
r12759113,Perumpilly
r12759113,Police Station
r12759113,Puthuvype
r12759113,Ramavarma
r12759113,School muttam
r12759113,SeaFood
r12759113,Thayyezhuth Ln
r12759113,Thekkan malippuram
r12759113,Vaachakkal
r12759113,Vadakekkara
r12759113,Valappu
r12759113,Vallarpadam
r12759113,Veliyatham Parambu
r12759113,Vypin
r12759113,bakery stop
r12759113,edavanakad palli
r12759113,hospital Jn
r12759113,kochambalam
r12759113,kudungasseri
r12759113,smhss
r12759289,Athaani
r12759289,Boat Jetty Bus Stand
r12759289,Bolgatty Bus Stop
r12759289,Chendamangalam Junction
r12759289,Cheranelloor Signal
r12759289,Cheriyapilly Valavu
r12759289,Cheriyappilly
r12759289,Chethupadi
r12759289,High Court
r12759289,High Court Junction
r12759289,KMK Jn
r12759289,Kappela
r12759289,Kavilnada Bus Stop
r12759289,Kerala State Road Transport Cooperation Bus Stand
r12759289,Kesari
r12759289,Khandakarnan veli
r12759289,Kochal
r12759289,Koonammavu Bus Stop
r12759289,Koonammavu Market
r12759289,Menaka
r12759289,Mesthiripadi
r12759289,Millupadi
r12759289,Moolampilly Bus Stop
r12759289,Mulavukadu Bus Stop
r12759289,Municipal Junction
r12759289,Naalam Mile
r12759289,Pallipadi
r12759289,Peruvaaram
r12759289,Poosharipadi
r12759289,Pournami
r12759289,Private Bustand
r12759289,SNDP Varapuzha
r12759289,St. Teresa's
r12759289,Thekke Naaluvazhi
r12759289,Thirumuppam
r12759289,Valluvalli
r12759289,Vazhikulangara
r12759289,namboodrichanda aal
r12759289,shappupadi
r13374892,Athani
r13374892,Chendamangalam Junction
r13374892,KMK Jn
r13374892,Kaitharam School
r13374892,Kerala State Road Transport Corporation Bus Stand
r13374892,Kothakulam
r13374892,Kottuvalli North
r13374892,Kottuvally south
r13374892,Mahilappadi
r13374892,Municipal Junction
r13374892,Thekke Naaluvazhi
r13374892,Thonyakavu
r13374892,Thrikkaouram
r13374892,namboodrichanda aal
r13374892,pulprapady
r13374893,Angaadi
r13374893,Ayyaar Valavu
r13374893,Beach Road
r13374893,Chendamangalam Junction
r13374893,Convent
r13374893,Devaswam nada
r13374893,IR Valavu
r13374893,Janatha
r13374893,KMK Jn
r13374893,Karuthala
r13374893,Kerala State Road Transport Corporation Bus Stand
r13374893,Kolothumkadavu
r13374893,Mani Bazar
r13374893,Munambam Ferry
r13374893,Pallippuram Palli
r13374893,Paravur private bus stand
r13374893,Perumpadanna
r13374893,Police Station
r13374893,Private Bustand
r13374893,bakery stop
r13374893,namboodrichanda aal
r13374893,smhss
