stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
n7102015091,,Pallippuram Palli,,10.1667395,76.1814967,,,0,,,0
n7102015092,,Pallippuram Palli,,10.1668417,76.1813945,,,0,,,0
n7102015139,,Police Station,,10.1689082,76.1806478,,,0,,,0
n7102015140,,Police Station,,10.1687772,76.1807868,,,0,,,0
n7102015141,,Angaadi,,10.1706516,76.1787566,,,0,,,0
n7102015142,,Angaadi,,10.1707786,76.1788162,,,0,,,0
n7102015143,,Mani Bazar,,10.1712256,76.1774758,,,0,,,0
n7102015144,,Mani Bazar,,10.171506,76.1772621,,,0,,,0
n7102015145,,Beach Road,,10.1741476,76.1758885,,,0,,,0
n7102015146,,Beach Road,,10.1743158,76.1759077,,,0,,,0
n7102015147,,Ayyaar Valavu,,10.1798428,76.1725274,,,0,,,0
n7102015148,,IR Valavu,,10.1799572,76.1725684,,,0,,,0
n7130769338,,Maharajas Ground,,9.972249,76.2861966,,,0,,,0
n7130826462,,Valanjambalam,,9.9647842,76.2887235,,,0,,,0
n7131595937,,Kadavanthra,,9.966629,76.2987001,,,0,,,0
n7131609339,,Pallimukk,,9.9638534,76.2860633,,,0,,,0
n7131609340,,Ghandhi Square,,9.9676381,76.2808709,,,0,,,0
n7175749744,,Convent Junction,,9.9755437,76.2804892,,,0,,,0
n7175749752,,Kadavanthara Junction,,9.9674794,76.3000174,,,0,,,0
n7175922504,,Janatha,,9.9680792,76.312784,,,0,,,0
n7294644885,,Thayyezhuth Ln,,10.0755722,76.2112771,,,0,,,0
n7464400088,,Palluruthy Veli,,9.9200586,76.2741794,,,0,,,0
n7475665490,,Edakochi,,9.8950691,76.2960356,,,0,,,0
n7500481958,,Chullikkal,,9.9450121,76.2579477,,,0,,,0
n8463147703,,Kaloor stadium,,10.0006443,76.2997449,,,0,,,0
n8463147704,,Kaloor stadium,,10.0008769,76.2994962,,,0,,,0
n8463147706,,Mathrubhoomi,,9.996842,76.2946636,,,0,,,0
n8463147707,,Mathrubhoomi,,9.9970407,76.2946906,,,0,,,0
n8463147709,,Kaloor,,9.9947299,76.2916945,,,0,,,0
n8463147714,,Manapattyparambu,,9.9924018,76.2896959,,,0,,,0
n8463147716,,Town Hall,,9.9910664,76.2880968,,,0,,,0
n8463175618,,North Railway Station,,9.9883491,76.2860939,,,0,,,0
