line_id,route_id,line_name,route_name
r10831465,r10524210,Vypin ↔ Fort Kochi (Ro Ro),Ro Ro: Vypin → Fort Kochi
r10831465,r10524211,Vypin ↔ Fort Kochi (Ro Ro),Ro Ro: Fort Kochi → Vypin
r10831516,r10525436,High Court ↔ Nedungad (via Vypin),High Court → Nedungad (via Vypin)
r10831516,r10525435,High Court ↔ Nedungad (via Vypin),Nedungad → High Court
r10831517,r10524079,Manjanakad ↔ High Court,Manjanakad → High Court
r10831517,r10524080,Manjanakad ↔ High Court,High Court → Manjanakad
r10831518,r10523910,North Paravur ↔ High Court (via Vypin),High Court → Vypin → North Paravur
r10831518,r10519399,North Paravur ↔ High Court (via Vypin),North Paravur → Vypin → High Court
r12759113,r10592288,Munambam ↔ High Court (via Vypin),High Court → Munambam (via Vypin)
r12759113,r10592287,Munambam ↔ High Court (via Vypin),Munambam → High Court (via Vypin)
r12759289,r12740709,North Paravur ↔ Ernakulam Boat Jetty,Ernakulam Boat Jetty → North Paravur
r12759289,r12759262,North Paravur ↔ Ernakulam Boat Jetty,North Paravur → Ernakulam Boat Jetty
r13374892,r12376735,North Paravur ↔ Kottuvally South (via Athani),Kottuvally South → North Paravur
r13374892,r12376660,North Paravur ↔ Kottuvally South (via Athani),North Paravur → Kottuvally South
r13374893,r10528761,North Paravur ↔ Munambam,Munambam → North Paravur
r13374893,r10528762,North Paravur ↔ Munambam,North Paravur → Munambam
r13478965,r13479120,North Paravur ↔ Ezhikkara,Ezhikkara → North Paravur
r13478965,r13478964,North Paravur ↔ Ezhikkara,North Paravur → Ezhikkara
r13489073,r13489398,Fort Kochi ↔ Edakochi,Fort Kochi → Edakochi
r13489073,r13489072,Fort Kochi ↔ Edakochi,Edakochi → Fort Kochi
r13497147,r13497146,High Court ↔ Panambukad (Vallarpadam),High Court → Panambukad (Vallarpadam)
r13497147,r13497384,High Court ↔ Panambukad (Vallarpadam),Panambukad (Vallarpadam) → High Court
r13498566,r13498565,Ernakulam ↔ Vypin,Ernakulam → Vypin
r13498566,r13498564,Ernakulam ↔ Vypin,Vypin → Ernakulam
r13498742,r13498741,Ernakulam ↔ Fort Kochi,Ernakulam → Fort Kochi
r13498742,r13498740,Ernakulam ↔ Fort Kochi,Fort Kochi → Ernakulam
r13498857,r13498856,Ernakulam ↔ Fort Kochi via Wellington Island,Ernakulam → Fort Kochi via Wellington Island
r13498857,r13498855,Ernakulam ↔ Fort Kochi via Wellington Island,Fort Kochi → Ernakulam via Wellington Island
r13500567,r13500566,"Vyttila Mobility Hub ↔ Vyttila Mobility Hub (clockwise, via Kadavanthra and Palarivattam bypass)",Vyttila Mobility Hub → Vyttila Mobility Hub
r13500673,r13500672,"Vyttila Mobility Hub ↔ Vyttila Mobility Hub (anti-clockwise, via Thamannam and Kadavanthara)",Vyttila Mobility Hub → Thamannam → Palarivattom → Vyttila Mobility Hub
r13500936,r13500934,Fort Kochi ↔ Kumbalangi,Fort Kochi → Kumbalangi
r13500936,r13500935,Fort Kochi ↔ Kumbalangi,Kumbalangi → Fort Kochi
r13510567,r13510566,Aluva ↔ Fort Kochi via Menaka,Aluva → Fort Kochi
r13510567,r13531007,Aluva ↔ Fort Kochi via Menaka,Fort Kochi → Aluva
r13526775,r13526774,Aluva ↔ North Paravur,Aluva → North Paravur
r13526775,r13526773,Aluva ↔ North Paravur,North Paravur → Aluva
r13531471,r13531470,Aluva ↔ Perumbavoor (via Rajagiri),Aluva → Perumbavoor
r13531471,r13531469,Aluva ↔ Perumbavoor (via Rajagiri),Perumbavoor → Aluva
r13531919,r13531918,Ankamaly ↔ Perumbavoor,Ankamaly → Perumbavoor
r13531919,r13531917,Ankamaly ↔ Perumbavoor,Perumbavoor → Ankamaly
r13531974,r13531973,Ankamaly ↔ Kalady,Ankamaly → Kalady
r13531974,r13531972,Ankamaly ↔ Kalady,Kalady → Ankamaly
r13534968,r13534966,Aluva ↔ Perumpadappu,Aluva → Perumpadappu
r13534968,r13538006,Aluva ↔ Perumpadappu,Perumpadappu → Aluva
r13535512,r13535511,Fort Kochi ↔ Wellington Island,Fort Kochi → Wellington Island
r13535512,r13535510,Fort Kochi ↔ Wellington Island,Wellington Island → Fort Kochi
r13539090,r13539089,Aluva ↔ Wellington Island,Aluva → Wellington Island
r13539090,r13539088,Aluva ↔ Wellington Island,Wellington Island → Aluva
r13544303,r13544302,Aluva ↔ Chellanam (via Menaka),Aluva → Chellanam
r13544303,r13544301,Aluva ↔ Chellanam (via Menaka),Chellanam → Aluva
r13544888,r13544887,Fort Kochi ↔ Kakkanad (via Menaka),Fort Kochi → Kakkanad
r13544888,r13544886,Fort Kochi ↔ Kakkanad (via Menaka),Kakkanad → Fort Kochi
r13545124,r13545123,Aluva ↔ Thoppumpady via Menaka,Aluva → Thoppumpady
r13545124,r13545122,Aluva ↔ Thoppumpady via Menaka,Thoppumpady → Aluva
r13546166,r13546165,Mattancherry ↔ Edakochi,Mattancherry → Edakochi
r13546166,r13546164,Mattancherry ↔ Edakochi,Edakochi → Mattancherry
r13546546,r13546545,Kakkanad ↔ Thevara,Kakkanad → Thevara
r13546546,r13546544,Kakkanad ↔ Thevara,Thevara → Kakkanad
r13548914,r13548913,Kaloor ↔ North Paravur,Kaloor → SNDP Junction → North Paravur
r13548914,r13548912,Kaloor ↔ North Paravur,North Paravur → Kaloor
r13548914,r13549125,Kaloor ↔ North Paravur,Kaloor → Chettibhagam → North Paravur
r13549451,r13549450,Aluva ↔ Fort Kochi via Padma,Aluva → Fort Kochi
r13549451,r13549449,Aluva ↔ Fort Kochi via Padma,Fort Kochi → Aluva
r13551368,r13551367,Ankamaly ↔ North Paravur,Ankamaly → North Paravur
r13551368,r13551366,Ankamaly ↔ North Paravur,North Paravur → Ankamaly
r13551491,r13551490,Cheranellore ↔ Mattancherry (via Chittoor),Cheranellore → Mattancherry
r13551491,r13551489,Cheranellore ↔ Mattancherry (via Chittoor),Mattancherry → Cheranellore
r13552378,r13552377,Chittortemple ↔ Mattancherry,Chittortemple → Mattancherry
r13552378,r13552376,Chittortemple ↔ Mattancherry,Mattancherry → Chittortemple
r13553060,r13553059,Aluva ↔ Mattancherry via Padma,Aluva → Mattancherry
r13553060,r13553058,Aluva ↔ Mattancherry via Padma,Mattancherry → Aluva
r13553068,r13553067,North Paravur ↔ Vyttila (via Koonammavu),North Paravur → Vyttila
r13553068,r13553066,North Paravur ↔ Vyttila (via Koonammavu),Vyttila Mobility Hub → North Paravur
r13553738,r13553737,Aluva ↔ Cochinshipyard,Aluva → Cochinshipyard
r13553738,r13553736,Aluva ↔ Cochinshipyard,Cochinshipyard → Aluva
r13555115,r13555114,Aluva ↔ Elavoor,Aluva → Elavoor
r13555115,r13555113,Aluva ↔ Elavoor,Elavoor → Aluva
r13556486,r13556485,Aluva ↔ Thevara,Aluva → Thevara
r13556486,r13556484,Aluva ↔ Thevara,Thevara → Aluva
r13557270,r13557269,Chittortemple ↔ Kumbalangi,Chittortemple → Kumbalangi
r13557270,r13557268,Chittortemple ↔ Kumbalangi,Kumbalangi → Chittoor Temple
r13561115,r13561114,Kakkanad ↔ Perumpadappu (via Menaka),Kakkanad → Perumpadappu
r13561115,r13561113,Kakkanad ↔ Perumpadappu (via Menaka),Perumpadappu → Kakkanad
r13561410,r13561409,Aluva ↔ Varapuzha (via Kodungalloor),Aluva → Varapuzha
r13561410,r13561408,Aluva ↔ Varapuzha (via Kodungalloor),Varapuzha → Aluva
r13561807,r13561806,Cheranellore ↔ Thevara,Cheranellore → Thevara
