stop_point_id,name,latitude,longitude,local_ref,wheelchair,shelter
n5757830538,Unnichira,10.0299877,76.3191024,,,no
n5757830539,Thykkavu,10.0318049,76.3218034,,,no
n5757830542,Padivattom,10.0076352,76.3158601,,,yes
n5757830543,Pipeline Junction,10.0045621,76.3132997,,,no
n5757830544,Vazhakkala,10.0126008,76.3266293,,,no
n5757830545,Colony Junction,10.0134851,76.3305745,,,yes
n5757830546,Padamugal,10.0141336,76.3328697,,,no
n5757830548,Vennala School Junction,9.9959111,76.3256509,,,no
n5757830549,Vaishali,9.9874521,76.3160497,,,yes
n5757830550,Kappattikavu,9.981507,76.332219,,,no
n5757830551,Puthiya Road Bypass Junction,9.9926588,76.3151349,,,yes
n5757830552,Kuthappady,9.9829168,76.3126223,,,yes
n5757830554,Anjumuri,9.9806411,76.3132987,,,yes
n5757830555,Puthenkulangara Shiva Temple,9.9834697,76.3311136,,,
n5757830556,Thykoodam,9.9590607,76.3183817,,,yes
n5757830558,Sub Station,9.9633059,76.3190876,,,
n5757830560,OEN,9.9609871,76.3218673,,,
n5863352173,Mubarak,10.0334945,76.4480786,,,no
n5958357616,Palakkal,10.1261314,76.3159161,,,no
n5958358593,Malikampeedika,10.127615,76.308801,,,no
n5958359385,Valyappanpadi,10.1265076,76.3252052,,,no
n5975126689,Palli Kavala,10.1087397,76.4582467,,,
n6039119919,NAD Kavala,10.0696578,76.3856327,,,yes
n6039131398,KMEA,10.0523499,76.3823012,,,no
n6043484164,Punchayath Junction,10.0503396,76.3773508,,,no
n6043510755,Thevakkal,10.0463714,76.3637024,,,yes
n6043532762,Mundampalam,10.036633,76.3439786,,,yes
n6043556589,Kunjattukara,10.0653647,76.3899502,,,no
n6199097354,Edayar,10.0875047,76.3030481,,,
n6199097355,Panayikulam,10.102027,76.301386,,,no
n6199119515,Paathalam,10.0778651,76.3184099,,,yes
n6236677902,FACT Market,10.0740635,76.3074406,,,no
n6300587285,Polakandam Market,9.9394969,76.2555685,,,no
n6300587288,Edappally Toll,10.0299901,76.3109525,,,yes
n6300587385,Karuvelippadi,9.9414492,76.2557946,,,yes
n6300587388,Amaravathi,9.9573702,76.2424165,,,no
n6300587389,Kunnumpuram,9.9652903,76.243579,,,no
n6300587390,Shanthi Nagar,9.932311,76.298925,,,yes
n6300587391,Kallath Temple,9.9365648,76.3097486,,,yes
n6300587392,Kundanoor Junction,9.9375858,76.317801,,,yes
n6300587394,Vyttila Junction,9.9681034,76.3180316,,,no
n6300587395,Chakkaraparambu,9.989384,76.3155185,,,yes
n6300587585,Kannadikadu,9.9493056,76.3182144,,,yes
n6575215866,Pambayi Moola,9.9121396,76.2936563,,,no
n6579556388,Kangarappady,10.0424358,76.3541091,,,yes
n6579556389,Kangarappady,10.04284,76.3546549,,,yes
n6604465433,Pashnithodu Palam,9.9134871,76.2827682,,,yes
n6604465434,Pashnithodu Palam,9.9133704,76.2826692,,,yes
n6604480384,Pambayi Moola,9.9121149,76.2935586,,,no
n6604489386,Pambayi Moola,9.9127528,76.2917441,,,yes
n6859298874,CT Office,10.0675322,76.2127081,,,no
n6864553692,Company Peedika,10.0008625,76.2346635,,,yes
n6894484657,MES Collage,10.1544196,76.2890899,,,yes
n6895227823,Pallathamkulangara,10.1099691,76.2025502,,,yes
n6895265704,Cheruvaippu Junction,10.1135417,76.2016195,,,no
n6914445924,Gowreeswaram,10.1333736,76.1960939,,,no
n6926314826,Padma,9.98074,76.2831629,,,yes
n6996454939,Nadakkavu,9.8979466,76.3693632,,,yes
n7018599468,Puthuvype,10.0036646,76.2332627,,,yes
n7018599469,Puthuvype,10.0043519,76.2328216,,,no
n7018735456,Valappu,10.0147926,76.2275184,,,no
n7018945497,Company Peedika,10.0007003,76.234858,,,yes
n7019483219,Malippuram Paalam,10.0188416,76.2256224,,,yes
n7019483220,Malippuram Paalam,10.0187084,76.2257818,,,yes
n7019489991,Veliyatham Parambu,10.0567263,76.2151785,,,yes
n7019489996,CT Office,10.0676877,76.2125859,,,no
n7019490009,Thayyezhuth Vazhi,10.0756155,76.211328,,,no
n7019490039,Aniyal,10.0791786,76.2104453,,,no
n7019490048,Edavanakad Palli,10.082715,76.209693,,,no
n7019490052,KPMHS,10.085335,76.209023,,,no
n7019490053,KPMHS,10.0852632,76.2091039,,,no
n7019490054,AEO Office,10.0875106,76.2084925,,,no
n7019490057,Pazhangad,10.0910289,76.2077132,,,no
n7019490058,Pazhangad,10.0905406,76.2077736,,,no
n7019490059,Vaachakkal,10.0938299,76.2068353,,,yes
n7019490060,Vaachakkal,10.0936806,76.2069611,,,no
n7019500464,Illathupadi,10.0991779,76.2053817,,,no
n7019500465,Illathupadi,10.0993352,76.2052665,,,no
n7019500470,Kuzhuppilly,10.10253,76.2043416,,,yes
n7019500471,Kuzhuppilly,10.1023903,76.2044586,,,no
n7019500474,Kuzhuppilly Vadakekkara,10.1043654,76.2038093,,,no
n7019500475,Kuzhuppilly Vadakekkara,10.1045339,76.2038545,,,no
n7019540813,Pallathamkulangara,10.1098017,76.2026446,,,no
n7019540815,Cheruvaippu Junction,10.1134364,76.2017507,,,no
n7019570854,Perumalppadi,10.0250513,76.2239077,,,no
n7019570855,Elamkunnapuzha,10.0305633,76.2219472,,,no
n7019570856,Elamkunnapuzha,10.0307343,76.2219897,,,no
n7019570857,Perumpilly,10.0356491,76.2205424,,,no
n7019570858,Perumpilly,10.0361177,76.2202792,,,yes
n7019570862,Hospital Junction,10.0409724,76.2190011,,,yes
n7019570863,Hospital Junction,10.0419123,76.2187302,,,yes
n7019570864,Njarackal,10.0467028,76.2174547,,,no
n7019570866,Mampilly,10.048835,76.2168632,,,no
n7019570867,Mampilly,10.0488549,76.2169362,,,no
