line_id,route_id,line_name,route_name,direction
r13755059,r13755057,Thuthiyoor ↔ Pambayimoola,Pambayimoola → Thuthiyoor,backward
r13755059,r13755058,Thuthiyoor ↔ Pambayimoola,Thuthiyoor → Pambayimoola,forward
r13755126,r13755124,Kothad Church ↔ Kundannoor,Kothad Church → Kundannoor,forward
r13755126,r13755125,Kothad Church ↔ Kundannoor,Kundannoor → Kothad Church,backward
r13755241,r13755240,Kundannoor ↔ Kundannoor,Kundannoor → Kundannoor,forward
r13755265,r13755264,Aluva ↔ Palluruthy,Aluva → Palluruthy,forward
r13755265,r13755263,Aluva ↔ Palluruthy,Palluruthy → Aluva,backward
r13755297,r13755295,Thrippoonithura ↔ Puthencruz,Puthencruz → Thrippoonithura,backward
r13755297,r13755296,Thrippoonithura ↔ Puthencruz,Thrippoonithura → Puthencruz,forward
r13755381,r13755380,Kadavanthra ↔ Kadavanthra,Kadavanthra → Kadavanthra,forward
r13755423,r13755421,Thevara Ferry ↔ Kakkanad CEPZ,Kakkanad CEPZ → Thevara Ferry,backward
r13755423,r13755422,Thevara Ferry ↔ Kakkanad CEPZ,Thevara Ferry → Kakkanad CEPZ,forward
r13758565,r13758564,Chittethukara ↔ Kumbalangi,Chittethukara → Kumbalangi,forward
r13758565,r13758563,Chittethukara ↔ Kumbalangi,Kumbalangi → Chittethukara,backward
r13758647,r13758646,Kakkanad ↔ Kumbalangi,Kakkanad → Kumbalangi,forward
r13758647,r13758645,Kakkanad ↔ Kumbalangi,Kumbalangi → Kakkanad,backward
r13758901,r13758900,Fort Kochi ↔ Palarivattom,Fort Kochi → Palarivattom,forward
r13758901,r13758899,Fort Kochi ↔ Palarivattom,Palarivattom → Fort Kochi,backward
r13758931,r13758930,Chellanam ↔ Fort Kochi,Chellanam → Fort Kochi,forward
r13758931,r13758929,Chellanam ↔ Fort Kochi,Fort Kochi → Chellanam,backward
r13761899,r13761898,Cheranellore ↔ Kumbalangi,Cheranellore → Kumbalangi,forward
r13761899,r13761897,Cheranellore ↔ Kumbalangi,Kumbalangi → Cheranellore,backward
r13761930,r13761929,Chellanam ↔ Palarivattom,Chellanam → Palarivattom,forward
r13761930,r13761928,Chellanam ↔ Palarivattom,Palarivattom → Chellanam,backward
r13761960,r13761959,Thrippoonithura ↔ Wellington Island,Thrippoonithura → Wellington Island,forward
r13761960,r13761958,Thrippoonithura ↔ Wellington Island,Wellington Island → Thrippoonithura,backward
r13761992,r13761990,Cheranellore ↔ Thrippoonithura,Cheranellore → Thrippoonithura,forward
